name	epoch	version	release	arch	vendor	build_time
patterns-base-fips	0	20200124	150700.36.1	x86_64	SUSE LLC <https://www.suse.com/>	1744412139
patterns-base-minimal_base	0	20200124	150700.36.1	x86_64	SUSE LLC <https://www.suse.com/>	1744412139
perl	0	5.26.1	150300.17.23.1	x86_64	SUSE LLC <https://www.suse.com/>	1785942148
perl-Error	0	0.17025	1.20	noarch	SUSE LLC <https://www.suse.com/>	1527272373
perl-Git	0	2.51.0	150600.3.15.1	x86_64	SUSE LLC <https://www.suse.com/>	1768219153
perl-base	0	5.26.1	150300.17.23.1	x86_64	SUSE LLC <https://www.suse.com/>	1785942148
permissions	0	20240826	150700.14.4	x86_64	SUSE LLC <https://www.suse.com/>	1746198857
pinentry	0	1.1.0	4.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1564577282
pkg-config	0	0.29.2	150600.15.6.3	x86_64	SUSE LLC <https://www.suse.com/>	1741766231
procps	0	3.3.17	150000.7.42.1	x86_64	SUSE LLC <https://www.suse.com/>	1740149952
python3	0	3.6.15	150300.10.118.1	x86_64	SUSE LLC <https://www.suse.com/>	1777461700
python3-base	0	3.6.15	150300.10.118.1	x86_64	SUSE LLC <https://www.suse.com/>	1777461650
python311	0	3.11.15	150600.3.65.1	x86_64	SUSE LLC <https://www.suse.com/>	1786956555
python311-base	0	3.11.15	150600.3.65.1	x86_64	SUSE LLC <https://www.suse.com/>	1786956463
rpm-config-SUSE	0	1	150400.14.3.1	noarch	SUSE LLC <https://www.suse.com/>	1658129698
rpm-ndb	0	4.14.3	150400.59.19.1	x86_64	SUSE LLC <https://www.suse.com/>	1786024573
rsync	0	3.2.7	150600.3.24.1	x86_64	SUSE LLC <https://www.suse.com/>	1786613870
runc	0	1.3.6	150000.103.1	x86_64	SUSE LLC <https://www.suse.com/>	1787075111
sed	0	4.9	150600.3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1776868374
shadow	0	4.17.2	150600.17.21.1	x86_64	SUSE LLC <https://www.suse.com/>	1784117751
shared-mime-info	0	2.4	150600.3.3.2	x86_64	SUSE LLC <https://www.suse.com/>	1733214119
skelcd-EULA-bci	0	20250430	150700.1.1	x86_64	SUSE LLC <https://www.suse.com/>	1746053765
sle-module-basesystem-release	0	15.7	150700.28.1	x86_64	SUSE LLC <https://www.suse.com/>	1746789294
sle-module-python3-release	0	15.7	150700.28.1	x86_64	SUSE LLC <https://www.suse.com/>	1746789292
sle-module-server-applications-release	0	15.7	150700.28.1	x86_64	SUSE LLC <https://www.suse.com/>	1746789284
sles-release	0	15.7	150700.67.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1770891197
squashfs	0	4.6.1	150300.3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1698416498
suse-build-key	0	12.0	150000.8.64.1	noarch	SUSE LLC <https://www.suse.com/>	1773936624
suse-module-tools	0	15.7.10	150700.3.11.1	x86_64	SUSE LLC <https://www.suse.com/>	1770214865
system-group-hardware	0	20170617	150400.24.2.1	noarch	SUSE LLC <https://www.suse.com/>	1701694889
system-group-kvm	0	20170617	150400.24.2.1	noarch	SUSE LLC <https://www.suse.com/>	1701694889
system-user-nobody	0	20170617	150400.24.2.1	noarch	SUSE LLC <https://www.suse.com/>	1701694889
system-user-root	0	20190513	3.3.1	noarch	SUSE LLC <https://www.suse.com/>	1558360055
systemd	0	254.27	150600.4.71.2	x86_64	SUSE LLC <https://www.suse.com/>	1783108570
systemd-default-settings	0	0.10	150300.3.7.1	noarch	SUSE LLC <https://www.suse.com/>	1712760380
systemd-default-settings-branding-SLE	0	0.10	150300.3.7.1	noarch	SUSE LLC <https://www.suse.com/>	1712760380
systemd-presets-branding-SLE	0	15.1	150600.35.3.1	noarch	SUSE LLC <https://www.suse.com/>	1756131035
systemd-presets-common-SUSE	0	15	150600.25.2	noarch	SUSE LLC <https://www.suse.com/>	1709927935
systemd-rpm-macros	0	16	150000.7.42.1	noarch	SUSE LLC <https://www.suse.com/>	1752126632
sysuser-shadow	0	3.2	150400.3.5.3	noarch	SUSE LLC <https://www.suse.com/>	1693931483
tar	0	1.34	150000.3.42.1	x86_64	SUSE LLC <https://www.suse.com/>	1782397678
terminfo-base	0	6.1	150000.5.33.1	x86_64	SUSE LLC <https://www.suse.com/>	1776346499
thin-provisioning-tools	0	0.7.5	3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1623305700
timezone	0	2026c	150600.91.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1785823986
udev	0	254.27	150600.4.71.2	x86_64	SUSE LLC <https://www.suse.com/>	1783108570
unzip	0	6.00	150000.4.14.1	x86_64	SUSE LLC <https://www.suse.com/>	1724742117
update-alternatives	0	1.19.0.4	150000.4.7.1	x86_64	SUSE LLC <https://www.suse.com/>	1752676177
util-linux	0	2.40.4	150700.4.18.1	x86_64	SUSE LLC <https://www.suse.com/>	1787159150
wget	0	1.24.5	150700.3.9.1	x86_64	SUSE LLC <https://www.suse.com/>	1787150998
which	0	2.21	2.20	x86_64	SUSE LLC <https://www.suse.com/>	1527267996
xorriso	0	1.5.6	150600.1.6	x86_64	SUSE LLC <https://www.suse.com/>	1715244855
xtables-plugins	0	1.8.7	1.1	x86_64	SUSE LLC <https://www.suse.com/>	1617957150
xz	0	5.4.1	150600.3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1779174877
zstd	0	1.5.7	150700.1.2	x86_64	SUSE LLC <https://www.suse.com/>	1745850889
zypper	0	1.14.98	150700.13.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1781519936
